Date,WellName,WT GL,WT GOR,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast IB-25,Forecast Last RoFo,WI Rate,WI BHP,WI THP,WI IB25,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10
3/25/2024 0:00,cheetah-20,2.025193488,1397.062047,3080.085072,1757.444175,100.953776,4294.170018,8170,4900,4710,,,,,,,,8760,1040,,8170,4900,4710
4/26/2024 0:00,cheetah-20,2.010364879,1432.303505,2678.805218,1396.705005,98.82678961,4786.089727,10850,4660,4540,,,,,,,,10860,980,,10850,4660,4540
5/13/2024 0:00,cheetah-20,1.02221943,1282.1376,3143.774762,923.5640313,93.78463487,7062.244909,11140,5030,4900,,,,,,,,5820,1010,,11140,5030,4900
6/6/2024 0:00,cheetah-20,2.04443886,1202.244379,3533.087125,1221.223934,100.7308807,6543.464991,11510,5890,5710,,,,,,,,5720,1060,,11510,5890,5710
7/15/2024 0:00,cheetah-20,2.044438839,931.8815918,3058.034668,1161.047729,98.16599274,6203.287888,,,,,,,,,,,5800,1040,,,,
7/22/2024 0:00,cheetah-20,2.044438839,952.4795532,3085.609619,1176.244629,97.89504242,6187.966919,12250,5990,5790,,,,,,,,5810,1030,,12250,5990,5790
7/27/2024 0:00,cheetah-20,2.044438839,893.949646,3051.641846,1182.587524,97.348526,6124.749756,12360,6040,5800,,,,,,,,5840,1040,,12360,6040,5800
8/9/2024 0:00,cheetah-20,1.277774334,729.1206665,3065.05542,1235.495239,92.36573792,5969.093323,12680,5980,5910,,,,,,,,5890,990,,12680,5980,5910
8/20/2024 0:00,cheetah-20,1,340.192627,6525.460938,3028.807129,100.7046509,5358.477783,12970,8150,8990,,,,,,,,10100,2570,,12970,8150,8990
8/21/2024 0:00,cheetah-20,1.299999952,446.0073547,7347.23877,4187.821777,106.8980484,4300.141907,13010,8470,8260,,,,,,,,7770,1190,,13010,8470,8260
9/3/2024 0:00,cheetah-20,1.266120076,530.7405396,4959.755859,2361.159668,99.6598587,5239.363098,13340,7140,7020,,,,,,,,6990,1120,,13340,7140,7020
9/12/2024 0:00,cheetah-20,1.275955319,480.9740295,4721.217285,2251.177246,98.63214874,5231.786346,13570,7150,7000,,,,,,,,7010,1060,,13570,7150,7000
9/18/2024 0:00,cheetah-20,1.052753925,483.7194824,4653.32666,2143.607178,96.75326538,5393.387604,13710,7150,6990,,,,,,,,7010,1050,,13710,7150,6990
10/1/2024 0:00,cheetah-20,1.035961747,493.4214783,4862.833008,2178.296875,98.06572723,5520.518875,14010,7010,6830,,,,,1207.169329,,,6880,1090,0,14010,7010,6830
10/15/2024 0:00,cheetah-20,1.03106761,419.7347107,4662.882324,2168.402344,95.54927826,5349.652481,14300,7090,6920,,,,,,,,6970,1080,,14300,7090,6920
11/12/2024 0:00,cheetah-20,1.012055397,386.8060303,4481.967773,1885.864014,95.53611755,5792.33017,14810,7310,7200,,,,,,,,7130,1080,,14810,7310,7200
11/26/2024 0:00,cheetah-20,1.01286447,405.9281311,4646.794434,1751.449585,95.74036407,6230.843353,15070,7290,7190,,,,,,,,7140,1040,,15070,7290,7190
11/29/2024 0:00,cheetah-20,1.034307837,426.3666382,4763.27002,1833.871094,95.00591278,6149.974442,15110,7250,7070,,,,,,,,7130,1030,,15110,7250,7070
12/26/2024 0:00,cheetah-20,1.049669147,412.7181091,4777.42334,1827.671143,95.67959595,6174.357986,15470,7240,7080,,,,,,,,7110,1120,,15470,7240,7080
